1801,30634
1712,31022
1711,32029
1710,33048
1709,33794
1708,34078
1707,34549
1706,34594
1705,34834
1704,32418
1703,31325
1702,31992
1701,32054
1612,30717
1611,32726
1610,30565
1609,25679
1608,24054
1607,22387
1606,22131
1605,21694
1604,22104
1603,21204
1602,19354
1601,19244
1512,18942
1511,18835
1510,18606
1509,18204
1508,18140
1507,17956
1506,17858
1505,17695
1504,16995
1503,16475
1502,16547
1501,16729
1412,17087
1411,17090
1410,16884
1409,16604
1408,16554
1407,16957
1406,16733
1405,16841
1404,17191
1403,17004
1402,16276
1401,17009
1312,16903
1311,16627
1310,16405
1309,16050
1308,15795
1307,15703
1306,15761
1305,15563
1304,15399
1303,14786
1302,14074
1301,14030
1212,13957
1211,13726
1210,13444
1209,13277
1208,13255
1207,13170
1206,12949
1205,12768
1204,12661
1203,12571
1202,12553
1201,12840
1112,13272
1111,13418
1110,13695
1109,13838
1108,13732
1107,13667
1106,13509
1105,13317
1104,13108
1103,12997
1102,12649
1101,12668
1012,12177
1011,12050
1010,11902
1009,11848
1008,11346
1007,10607
1006,10564
1005,11218
1004,10395
1003,9690
1002,9284
1001,9050
912,9051
911,8845
910,8379
909,8247
908,8095
907,7846
906,7383
905,7750
904,7110
903,6722
902,7020
901,7090
